Table S7: IEI Candidate Genes with Average in NK Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
323,NK cell,DUSP6,15.5,KNOWN,FALSE,TRUE,FALSE,,
324,NK cell,DUSP7,2.5,NEW,TRUE,TRUE,TRUE,,
325,NK cell,DVL2,7.2,KNOWN,FALSE,TRUE,FALSE,,
326,NK cell,DYM,32.1,NEW,TRUE,FALSE,FALSE,,
327,NK cell,DYRK2,5,NEW,TRUE,TRUE,TRUE,,
328,NK cell,E2F3,3.9,KNOWN,TRUE,TRUE,TRUE,,
329,NK cell,E2F4,9,KNOWN,TRUE,TRUE,TRUE,,
330,NK cell,EARS2,9.2,NEW,TRUE,FALSE,FALSE,,
331,NK cell,ECE1,1.6,KNOWN,TRUE,FALSE,FALSE,,
332,NK cell,ECSIT,25.9,NEW,FALSE,TRUE,FALSE,,
333,NK cell,EDEM2,46.1,NEW,TRUE,FALSE,FALSE,,
334,NK cell,EEF1A1,7522.9,NEW,TRUE,FALSE,FALSE,,
335,NK cell,EFCAB2,2.5,NEW,TRUE,FALSE,FALSE,,
336,NK cell,EFHC1,1.5,NEW,TRUE,FALSE,FALSE,,
337,NK cell,EGLN3,1.1,NEW,TRUE,FALSE,FALSE,,
338,NK cell,EHD1,28.5,NEW,TRUE,FALSE,FALSE,,
339,NK cell,EI24,6.9,NEW,TRUE,FALSE,FALSE,,
340,NK cell,EIF2A,50.3,NEW,FALSE,TRUE,FALSE,,
341,NK cell,EIF2AK1,10.6,NEW,TRUE,FALSE,FALSE,,
342,NK cell,EIF2AK2,15.6,KNOWN,TRUE,TRUE,TRUE,,
343,NK cell,EIF2AK4,9.1,NEW,FALSE,TRUE,FALSE,,
344,NK cell,EIF2S1,61.2,NEW,TRUE,TRUE,TRUE,,
345,NK cell,EIF3H,336.7,NEW,TRUE,FALSE,FALSE,,
346,NK cell,EIF4B,100.9,KNOWN,FALSE,TRUE,FALSE,,
347,NK cell,EIF4E,54.5,KNOWN,TRUE,TRUE,TRUE,,
348,NK cell,EIF4EBP1,23,KNOWN,FALSE,TRUE,FALSE,,
349,NK cell,EIF4G2,305.7,NEW,FALSE,TRUE,FALSE,,
350,NK cell,ELAVL1,39.1,NEW,TRUE,TRUE,TRUE,,
351,NK cell,ELF1,79.1,NEW,TRUE,FALSE,FALSE,,
352,NK cell,ELF4,6.9,NEW,TRUE,FALSE,FALSE,,
353,NK cell,ELK1,3.9,KNOWN,FALSE,TRUE,FALSE,,
