Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
210,T cell,CDC42EP3,47.35714286,NEW,TRUE,FALSE,FALSE,,
211,T cell,CDC42SE2,126.4571429,KNOWN,TRUE,FALSE,FALSE,,
212,T cell,CDC7,3.057142857,KNOWN,TRUE,TRUE,TRUE,,
213,T cell,CDK11B,4.528571429,KNOWN,FALSE,TRUE,FALSE,,
214,T cell,CDK12,2.028571429,NEW,FALSE,TRUE,FALSE,,
215,T cell,CDK16,4.614285714,NEW,FALSE,TRUE,FALSE,,
216,T cell,CDK2,3.785714286,KNOWN,TRUE,TRUE,TRUE,,
217,T cell,CDK4,67.21428571,KNOWN,TRUE,TRUE,TRUE,,
218,T cell,CDK5,11.95714286,KNOWN,TRUE,TRUE,TRUE,,
219,T cell,CDK5RAP2,2.971428571,NEW,TRUE,FALSE,FALSE,,
220,T cell,CDK6,2.385714286,KNOWN,TRUE,TRUE,TRUE,,
221,T cell,CDK7,12.42857143,KNOWN,TRUE,TRUE,TRUE,,
222,T cell,CDK9,7.528571429,KNOWN,TRUE,TRUE,TRUE,,
223,T cell,CDKAL1,6.542857143,NEW,TRUE,FALSE,FALSE,,
224,T cell,CDKN1B,6.985714286,KNOWN,TRUE,TRUE,TRUE,,
225,T cell,CDKN2A,14.41428571,KNOWN,TRUE,TRUE,TRUE,,
226,T cell,CDKN2C,7.285714286,NEW,TRUE,TRUE,TRUE,,
227,T cell,CDKN3,4.542857143,KNOWN,FALSE,TRUE,FALSE,,
228,T cell,CDYL,1.014285714,NEW,TRUE,FALSE,FALSE,,
229,T cell,CELF1,12.75714286,NEW,TRUE,FALSE,FALSE,,
230,T cell,CEP128,2.471428571,NEW,TRUE,FALSE,FALSE,,
231,T cell,CEP85L,5.771428571,NEW,TRUE,FALSE,FALSE,,
232,T cell,CFL1,1937.228571,KNOWN,FALSE,TRUE,FALSE,,
233,T cell,CFLAR,45.65714286,KNOWN,TRUE,TRUE,TRUE,,
234,T cell,CHD2,28.54285714,NEW,TRUE,FALSE,FALSE,,
235,T cell,CHD9,13.4,KNOWN,TRUE,FALSE,FALSE,,
236,T cell,CHEK1,2.371428571,KNOWN,TRUE,TRUE,TRUE,,
237,T cell,CHEK2,2.157142857,KNOWN,TRUE,TRUE,TRUE,,
238,T cell,CHN1,2.785714286,NEW,FALSE,TRUE,FALSE,,
239,T cell,CHN2,1.371428571,NEW,TRUE,TRUE,TRUE,,
240,T cell,CHUK,1.242857143,KNOWN,TRUE,TRUE,TRUE,,
241,T cell,CISH,40.41428571,KNOWN,TRUE,FALSE,FALSE,,
242,T cell,CKS1B,26.75714286,KNOWN,FALSE,TRUE,FALSE,,
243,T cell,CLC,4.585714286,NEW,TRUE,FALSE,FALSE,,
244,T cell,CLEC16A,1.657142857,NEW,TRUE,FALSE,FALSE,,
245,T cell,CMKLR1,2.742857143,NEW,TRUE,FALSE,FALSE,,
246,T cell,CMTM7,56.35714286,NEW,TRUE,FALSE,FALSE,,
247,T cell,CMTR1,4.585714286,NEW,TRUE,FALSE,FALSE,,
248,T cell,COP1,1.728571429,NEW,TRUE,TRUE,TRUE,,
249,T cell,COPS5,31.58571429,NEW,TRUE,TRUE,TRUE,,
250,T cell,COPS6,167.0428571,NEW,FALSE,TRUE,FALSE,,
251,T cell,CPQ,23.34285714,NEW,TRUE,FALSE,FALSE,,
252,T cell,CRADD,19.44285714,KNOWN,TRUE,FALSE,FALSE,,
253,T cell,CREB1,25.97142857,KNOWN,TRUE,TRUE,TRUE,,
254,T cell,CREBBP,1.014285714,KNOWN,TRUE,TRUE,TRUE,,
255,T cell,CREM,11.68571429,KNOWN,TRUE,FALSE,FALSE,,
256,T cell,CRK,2.842857143,KNOWN,FALSE,TRUE,FALSE,,
257,T cell,CRKL,17.42857143,KNOWN,FALSE,TRUE,FALSE,,
258,T cell,CSGALNACT1,20.57142857,NEW,TRUE,FALSE,FALSE,,
259,T cell,CSK,66.65714286,KNOWN,FALSE,TRUE,FALSE,,
260,T cell,CSNK1A1,60.24285714,KNOWN,TRUE,TRUE,TRUE,,
261,T cell,CSNK1D,10.07142857,KNOWN,TRUE,TRUE,TRUE,,
262,T cell,CSNK1E,2.785714286,KNOWN,TRUE,TRUE,TRUE,,
263,T cell,CSNK2A1,18.67142857,NEW,TRUE,TRUE,TRUE,,
264,T cell,CSNK2A2,12.44285714,KNOWN,TRUE,TRUE,TRUE,,
265,T cell,CSNK2B,14.95714286,KNOWN,TRUE,TRUE,TRUE,,
266,T cell,CSRP1,31.08571429,NEW,TRUE,FALSE,FALSE,,
267,T cell,CTBP1,23.54285714,KNOWN,FALSE,TRUE,FALSE,,
268,T cell,CTCF,3.9,KNOWN,TRUE,FALSE,FALSE,,
269,T cell,CTNNA1,4.328571429,NEW,TRUE,TRUE,TRUE,,
270,T cell,CTNNB1,9.4,KNOWN,TRUE,TRUE,TRUE,,
271,T cell,CTSB,101.9428571,KNOWN,TRUE,FALSE,FALSE,,
272,T cell,CTSD,96.27142857,KNOWN,TRUE,TRUE,TRUE,,
273,T cell,CTSG,1.071428571,NEW,TRUE,TRUE,TRUE,,
274,T cell,CTSH,11.12857143,NEW,TRUE,FALSE,FALSE,,
