Table S1: IEI Candidate Genes without Filter,,,,
,pLI,AssociatedGene,pNull,pRec
423,1.64E-18,COL25A1,0.1058,0.8942
424,0.5864,COL27A1,1.06E-18,0.4136
425,1,COL2A1,1.67E-29,1.55E-10
426,NA,COP1,NA,NA
427,0.99925,COPS5,4.70E-09,0.00075169
428,0.98666,COPS6,1.07E-06,0.013343
429,0.98555,CPEB4,2.18E-09,0.014455
430,1.32E-14,CPQ,0.98761,0.012393
431,4.74E-19,CR2,0.12171,0.87829
432,0.87862,CRADD,0.0013152,0.12006
433,0.99673,CREB1,3.42E-08,0.003267
434,0.22337,CREB5,6.09E-05,0.77657
435,1,CREBBP,1.67E-44,1.51E-17
436,0.50878,CREM,0.00014932,0.49107
437,3.79E-05,CRHR1,0.0019984,0.99796
438,0.95936,CRK,1.67E-05,0.040623
439,0.44604,CRKL,0.0057598,0.5482
440,3.31E-07,CRLF2,0.65767,0.34233
441,0.99173,CRMP1,1.36E-08,0.0082735
442,0.0036969,CRP,0.5802,0.4161
443,0.17396,CRYAA,0.051643,0.7744
444,0.02247,CRYAB,0.19959,0.77794
445,0.99634,CSF1,4.51E-08,0.0036608
446,0.13278,CSF1R,1.15E-08,0.86722
447,0.83468,CSF2,0.002953,0.16236
448,0.38046,CSF3,0.009394,0.61015
449,9.27E-14,CSGALNACT1,0.96126,0.038743
450,0.99977,CSK,5.50E-11,0.0002335
451,1,CSMD1,2.00E-42,7.37E-10
452,0.057105,CSMD3,1.21E-31,0.9429
453,1.42E-16,CSN1S1,0.99834,0.001661
454,0.99758,CSNK1A1,1.65E-08,0.0024232
455,0.013174,CSNK1A1L,0.11481,0.87202
456,0.99577,CSNK1D,6.44E-08,0.0042344
457,0.99926,CSNK1E,4.56E-09,0.00074238
458,0.98711,CSNK2A1,8.13E-09,0.012893
459,0.9994,CSNK2A2,5.40E-10,0.00059605
460,0.91728,CSNK2B,0.00010065,0.082619
461,0.0003328,CSRP1,0.16712,0.83255
462,0.98442,CTBP1,1.56E-06,0.015579
463,0.99994,CTCF,1.90E-12,5.87E-05
464,0.00050202,CTGF,0.10908,0.89042
465,0.96962,CTNNA1,1.13E-10,0.030382
466,0.99999,CTNNB1,2.63E-14,1.01E-05
467,0.99999,CTNND1,2.96E-16,1.15E-05
468,1,CTNND2,3.21E-24,1.66E-09
469,5.88E-11,CTSB,0.87849,0.12151
470,0.00091747,CTSD,0.011938,0.98714
471,9.56E-06,CTSG,0.4351,0.56489
472,1.25E-08,CTSH,0.19649,0.80351
473,0.0080454,CTSL,0.012659,0.9793
474,0.089176,CTTN,5.62E-07,0.91082
475,4.63E-42,CUBN,4.24E-10,1
476,6.63E-08,CUEDC1,0.3062,0.6938
477,1,CUL1,5.05E-19,4.35E-07
478,1,CUX1,2.68E-23,5.47E-08
479,0.60837,CX3CL1,0.0016097,0.39002
480,0.11845,CXCL1,0.093555,0.78799
481,0.36865,CXCL10,0.044231,0.58712
482,0.31408,CXCL11,0.064043,0.62188
483,0.11851,CXCL12,0.093489,0.788
484,3.61E-07,CXCL2,0.94168,0.058323
485,0.00030234,CXCL3,0.63353,0.36617
486,5.04E-06,CXCL5,0.86184,0.13815
487,NA,CXCL8,NA,NA
488,0.0029304,CXCL9,0.39808,0.59899
489,0.72861,CXCR5,0.0024821,0.2689
490,0.99993,CYLD,2.36E-14,6.92E-05
491,1.70E-05,CYP19A1,0.029101,0.97088
492,3.20E-23,CYP24A1,0.99986,0.00014163
493,1.92E-07,CYP27B1,0.11913,0.88087
494,5.80E-11,CYP3A4,0.61384,0.38616
495,0.99981,CYTH1,1.64E-10,0.00018958
496,0.00077316,CYTH4,0.00064273,0.99858
497,0.99918,DAAM1,3.35E-15,0.0008246
498,0.40701,DAB2,2.70E-06,0.59298
499,0.99995,DAB2IP,1.05E-14,4.96E-05
500,0.98117,DAG1,5.04E-07,0.018831
501,1.11E-09,DAP3,0.46846,0.53154
502,0.99767,DAPK1,1.72E-15,0.0023304
503,5.01E-10,DAPK2,0.78697,0.21303
504,0.0065541,DAPK3,0.0035297,0.98992
505,0.17169,DAPP1,0.0025198,0.82579
506,0.098633,DAXX,5.73E-05,0.90131
507,0.99296,DBF4,1.85E-09,0.0070405
508,0.0013944,DBI,0.31865,0.67996
509,0.017939,DBNL,0.00016495,0.9819
510,0.99448,DCC,2.37E-17,0.0055201
511,4.79E-08,DCDC1,0.60672,0.39328
512,0.31231,DCN,0.00068172,0.687
513,1.60E-10,DCP1B,0.40636,0.59364
514,0.8666,DCUN1D3,0.00034861,0.13305
515,0.99979,DDB1,5.67E-16,0.00020659
516,7.40E-06,DDB2,0.019936,0.98006
517,0.00068309,DDIT4,0.23717,0.76215
518,4.63E-06,DDR1,1.39E-05,0.99998
519,0.5503,DDR2,3.65E-08,0.4497
520,9.75E-07,DDX50,2.64E-05,0.99997
521,1.76E-23,DDX58,0.98123,0.018769
522,1.07E-38,DDX60L,0.999,0.00099707
523,0.0011637,DEFB4A,0.76323,0.2356
524,0.99976,DENND1A,9.39E-14,0.00023523
525,0.20408,DENND1B,7.36E-05,0.79585
526,1.30E-11,DENND3,3.03E-05,0.99997
527,3.72E-12,DEPTOR,0.95242,0.047583
528,0.00037318,DERA,0.040497,0.95913
529,0.52991,DGKB,8.69E-09,0.47009
530,6.02E-13,DGKG,0.011994,0.98801
531,8.72E-07,DHRS2,0.68099,0.31901
532,0.22581,DHRS3,0.0070225,0.76717
533,3.20E-13,DHX58,0.73278,0.26722
534,2.57E-06,DIABLO,0.47811,0.52189
535,0.91507,DIAPH1,2.51E-12,0.084926
536,0.6196,DIO2,0.0014617,0.37894
537,NA,CXorf36,NA,NA
538,0.944,DIS3L2,5.20E-10,0.056
539,0.17423,DKK1,0.011773,0.814
540,0.99948,DLC1,2.19E-16,0.0005189
541,0.47033,DLEU1,0.080319,0.44935
542,0.99393,DLG1,8.82E-14,0.0060693
543,0.70796,DLG2,1.49E-11,0.29204
544,0.99999,DLL1,2.68E-13,1.36E-05
545,0.041133,DMAP1,0.00023358,0.95863
546,1,DMXL2,5.27E-43,1.63E-13
547,2.54E-58,DNAH11,1.19E-09,1
