Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean
950,IRAK2,2.166666667
951,IRF1,143.6888889
952,IRF2,93.17222222
953,IRF5,12.85555556
954,IRS1,0.005555556
955,IRS2,0.322222222
956,ISG20,369.5944444
957,ITGA11,0.072222222
958,ITGA2,0.016666667
959,ITGA3,0.016666667
960,ITGA4,44.56666667
961,ITGA5,16.98888889
962,ITGA6,4.566666667
963,ITGA9,0.016666667
964,ITGAL,23.52222222
965,ITGAM,21.07777778
966,ITGAV,0.522222222
967,ITGAX,16.12222222
968,ITGB1,97.80555556
969,ITGB3,0.166666667
970,ITGB4,0.555555556
971,ITGB5,0.138888889
972,ITGB7,32.91666667
973,ITGB8,0.688888889
974,ITPR1,1.394444444
975,ITPR2,5.427777778
976,ITSN1,0.977777778
977,JADE2,2.45
978,JAG1,0.066666667
979,JAK2,15.2
980,JAM3,0.894444444
981,JMJD1C,2.55
982,JUN,1.038888889
983,JUNB,75.58888889
984,JUND,6.411111111
985,KALRN,0.161111111
986,KAT2A,0.188888889
987,KAT2B,0.783333333
988,KAT5,31.03333333
989,KAT6A,1.777777778
990,KAT6B,0.744444444
991,KAT8,5.211111111
992,KAZN,0.122222222
993,KCNJ15,15.09444444
994,KCNK1,0.344444444
995,KCNMA1,0.244444444
996,KCNN3,0.35
997,KCTD1,0.038888889
998,KDM1A,3.338888889
999,KDM2A,1.733333333
1000,KDM2B,3.927777778
1001,KDM4C,7.811111111
1002,KDM5A,27.97222222
1003,KDM6B,0.777777778
1004,KEAP1,33.76666667
1005,KHDRBS1,6.977777778
1006,KHDRBS2,0.738888889
1007,KHSRP,3.172222222
1008,KIAA1217,0.05
1009,KIAA1324L,0.594444444
1010,KIF2A,25.87777778
1011,KIR2DL1,0.005555556
1012,KIR3DL1,0.161111111
1013,KIT,2.488888889
1014,KLF11,3.322222222
1015,KLF2,33.26111111
1016,KLF4,0.65
1017,KLF5,1.016666667
1018,KLF6,111.2277778
1019,KLF7,9.561111111
1020,KLF9,0.344444444
1021,KLHL6,2.694444444
1022,KLK2,0.388888889
