Table S6: IEI Candidate Genes with Average in Myeloid Cells > 1 TPM Filter,CellType,Gene,mean
494,Myeloid,GAB2,5.4
495,Myeloid,GABPA,4.616666667
496,Myeloid,GADD45A,9.9
497,Myeloid,GADD45B,47.45
498,Myeloid,GALNT10,1.466666667
499,Myeloid,GALNT2,5.066666667
500,Myeloid,GAPDH,1692.283333
501,Myeloid,GAS7,9.1
502,Myeloid,GATA1,71.96666667
503,Myeloid,GATAD2A,3.133333333
504,Myeloid,GBP1,45.23333333
505,Myeloid,GFAP,1.166666667
506,Myeloid,GFI1B,81.61666667
507,Myeloid,GIT1,1.1
508,Myeloid,GLIPR2,269.45
509,Myeloid,GLRX,397.35
510,Myeloid,GLS,1.666666667
511,Myeloid,GM2A,9.7
512,Myeloid,GMDS,5.166666667
513,Myeloid,GNA11,1.383333333
514,Myeloid,GNA13,7.683333333
515,Myeloid,GNA14,3.366666667
516,Myeloid,GNA15,14.1
517,Myeloid,GNAI1,1.2
518,Myeloid,GNAI2,37.43333333
519,Myeloid,GNAI3,11.6
520,Myeloid,GNAQ,6.65
521,Myeloid,GNAS,47.95
522,Myeloid,GNB2,40.36666667
523,Myeloid,GNB5,2.9
524,Myeloid,GNG2,141.6
525,Myeloid,GOLPH3,8.25
526,Myeloid,GORASP1,3.45
527,Myeloid,GPATCH2,1.833333333
528,Myeloid,GPCPD1,5.866666667
529,Myeloid,GPD2,1.516666667
530,Myeloid,GPR107,2.266666667
531,Myeloid,GPR132,5.433333333
532,Myeloid,GPR141,4.55
533,Myeloid,GPR146,13.35
534,Myeloid,GRAMD1A,8.733333333
535,Myeloid,GRAP2,1.7
536,Myeloid,GRB10,1.883333333
537,Myeloid,GRB2,140.1833333
538,Myeloid,GRK2,18.5
539,Myeloid,GRK5,2.85
540,Myeloid,GRK6,31.43333333
541,Myeloid,GRN,619.6166667
542,Myeloid,GSAP,5.183333333
543,Myeloid,GSE1,1.35
544,Myeloid,GSK3B,2.95
545,Myeloid,GSN,303.5666667
546,Myeloid,GSTK1,323
547,Myeloid,GSTP1,1013.2
548,Myeloid,GTDC1,3.616666667
549,Myeloid,GTF2H1,9.35
550,Myeloid,GTF2I,6.383333333
551,Myeloid,GZMB,7.983333333
552,Myeloid,H2AFX,1.55
553,Myeloid,HBP1,71.43333333
554,Myeloid,HCFC1,1.3
555,Myeloid,HCK,582.7
556,Myeloid,HDAC1,100.3166667
557,Myeloid,HDAC2,30.2
558,Myeloid,HDAC3,32.55
559,Myeloid,HDAC4,12.75
560,Myeloid,HDAC6,4.5
561,Myeloid,HDAC7,1.083333333
562,Myeloid,HDAC9,7.266666667
563,Myeloid,HERC1,8.066666667
564,Myeloid,HGF,19.86666667
565,Myeloid,HIF1A,40.01666667
566,Myeloid,HIPK2,4.816666667
567,Myeloid,HIPK3,8.866666667
568,Myeloid,HIST1H2AM,17.2
569,Myeloid,HIST2H2AC,39.46666667
570,Myeloid,HIVEP1,3.183333333
571,Myeloid,HK1,64.01666667
572,Myeloid,HK2,14.26666667
573,Myeloid,HLA-A,130.7333333
574,Myeloid,HLA-B,278.0666667
575,Myeloid,HLA-DMA,1.15
576,Myeloid,HLA-DMB,7.466666667
577,Myeloid,HLA-DOA,1.033333333
578,Myeloid,HLA-DPA1,54.88333333
579,Myeloid,HLA-DPB1,84.11666667
580,Myeloid,HLA-DQA1,55.88333333
581,Myeloid,HLA-DQB1,49.83333333
582,Myeloid,HLA-DRA,106.1833333
583,Myeloid,HLA-DRB1,131.1
584,Myeloid,HLA-DRB5,11.56666667
585,Myeloid,HLA-E,212.5
586,Myeloid,HLA-F,25.05
587,Myeloid,HLX,25
588,Myeloid,HM13,220.4
589,Myeloid,HMGA1,18.35
590,Myeloid,HMGB1,498.6333333
591,Myeloid,HMGB2,224.8166667
592,Myeloid,HMGN1,77.53333333
593,Myeloid,HMOX1,77.8
594,Myeloid,HNRNPK,379.1166667
595,Myeloid,HNRNPM,44.83333333
596,Myeloid,HNRNPR,25.6
597,Myeloid,HNRNPU,13.6
598,Myeloid,HNRNPUL1,7.416666667
599,Myeloid,HOXA9,1.016666667
600,Myeloid,HPCAL1,36.88333333
601,Myeloid,HS1BP3,12.45
602,Myeloid,HSF1,17.25
603,Myeloid,HSP90AA1,83.95
604,Myeloid,HSP90AB1,141.2833333
605,Myeloid,HSP90B1,74.96666667
606,Myeloid,HSPA1A,2.266666667
607,Myeloid,HSPB1,28.76666667
608,Myeloid,HSPD1,32.48333333
609,Myeloid,HTRA2,3.183333333
610,Myeloid,ICAM1,14.25
611,Myeloid,ICAM4,39.3
612,Myeloid,ID2,237.85
613,Myeloid,IDO1,64.38333333
614,Myeloid,IER5,2.716666667
615,Myeloid,IFI16,46.71666667
616,Myeloid,IFI27,1.4
617,Myeloid,IFI35,70.6
618,Myeloid,IFI6,229.2166667
619,Myeloid,IFIT1,40.25
620,Myeloid,IFIT3,118.55
621,Myeloid,IFITM1,469.6333333
622,Myeloid,IFITM3,1047.85
623,Myeloid,IGF1R,1.05
624,Myeloid,IGF2R,1.933333333
625,Myeloid,IKBKE,10.38333333
626,Myeloid,IL13RA1,6.583333333
627,Myeloid,IL15,8.983333333
628,Myeloid,IL15RA,14.03333333
629,Myeloid,IL16,161.1833333
630,Myeloid,IL18,7.866666667
631,Myeloid,IL1B,14.41666667
632,Myeloid,IL1RAP,16.25
633,Myeloid,IL27,1.45
634,Myeloid,IL3RA,311.3666667
635,Myeloid,IL4,58.11666667
636,Myeloid,IL4R,6.216666667
637,Myeloid,ILK,220.7666667
638,Myeloid,IMMP2L,7.05
639,Myeloid,ING1,10.43333333
640,Myeloid,INPP4A,1.45
641,Myeloid,INPP5D,10.55
642,Myeloid,INSR,5.45
643,Myeloid,INTS7,5.666666667
644,Myeloid,IPCEF1,18.83333333
645,Myeloid,IQGAP1,27.41666667
646,Myeloid,IQGAP2,4.4
647,Myeloid,IQSEC1,3.55
648,Myeloid,IRF1,228.4666667
649,Myeloid,IRF2,131.2833333
650,Myeloid,IRF5,21.63333333
651,Myeloid,ISG20,188.1666667
652,Myeloid,ITGA4,67.56666667
653,Myeloid,ITGA5,26.4
654,Myeloid,ITGA6,3.65
655,Myeloid,ITGAL,28.4
656,Myeloid,ITGAM,40.43333333
657,Myeloid,ITGAV,1.033333333
658,Myeloid,ITGAX,33.85
659,Myeloid,ITGB1,49.61666667
660,Myeloid,ITGB7,23.51666667
661,Myeloid,ITGB8,2.05
662,Myeloid,ITPR1,1.05
663,Myeloid,ITPR2,8.7
664,Myeloid,ITSN1,2.45
665,Myeloid,JADE2,1.666666667
666,Myeloid,JAK2,32.68333333
667,Myeloid,JMJD1C,2.883333333
668,Myeloid,JUN,1.016666667
669,Myeloid,JUNB,163.4333333
670,Myeloid,JUND,7.883333333
671,Myeloid,KAT5,32.06666667
672,Myeloid,KAT6A,1.766666667
673,Myeloid,KAT8,9.783333333
674,Myeloid,KCNJ15,44.9
675,Myeloid,KDM1A,2.516666667
676,Myeloid,KDM2B,1.966666667
677,Myeloid,KDM4C,6.316666667
678,Myeloid,KDM5A,32.1
679,Myeloid,KDM6B,1.766666667
680,Myeloid,KEAP1,27.4
681,Myeloid,KHDRBS1,4.866666667
682,Myeloid,KHSRP,2.866666667
683,Myeloid,KIF2A,7.683333333
684,Myeloid,KIT,4.333333333
685,Myeloid,KLF11,5.066666667
686,Myeloid,KLF2,30.11666667
687,Myeloid,KLF4,1.466666667
688,Myeloid,KLF5,3
689,Myeloid,KLF6,149.5833333
690,Myeloid,KLF7,15.08333333
691,Myeloid,KLHL6,3.85
692,Myeloid,KLRC1,1.133333333
693,Myeloid,KLRD1,1.866666667
694,Myeloid,KMT5A,1.6
695,Myeloid,KPNA2,23.58333333
696,Myeloid,KPNB1,10.65
697,Myeloid,KRAS,17.6
698,Myeloid,KSR1,1.2
699,Myeloid,KTN1,46.76666667
700,Myeloid,KYNU,52.63333333
701,Myeloid,LAP3,90.06666667
702,Myeloid,LAPTM5,969.15
703,Myeloid,LASP1,28.8
704,Myeloid,LATS1,4.15
705,Myeloid,LCP2,50.73333333
706,Myeloid,LDLR,6.65
707,Myeloid,LGALS3,162.0833333
708,Myeloid,LHFPL2,2.35
709,Myeloid,LIMD1,1.633333333
710,Myeloid,LIMK1,2.716666667
711,Myeloid,LIMK2,18.15
712,Myeloid,LIMS1,101.5166667
713,Myeloid,LIPA,100.2333333
714,Myeloid,LITAF,432.7333333
715,Myeloid,LMNA,7.583333333
716,Myeloid,LPP,4.55
717,Myeloid,LRP1,1.316666667
718,Myeloid,LRRFIP1,131.35
719,Myeloid,LRRK2,17.36666667
720,Myeloid,LTB,23.83333333
721,Myeloid,LTBR,29.06666667
