Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean
390,T cell,EXOC6,2.885714286
391,T cell,EZH2,2.371428571
392,T cell,EZR,205.3428571
393,T cell,F2R,9.928571429
394,T cell,F5,1.057142857
395,T cell,F8,4.771428571
396,T cell,FAF1,4.142857143
397,T cell,FAM111A,2.714285714
398,T cell,FAM129A,4.6
399,T cell,FAM13A,1.328571429
400,T cell,FAM171A1,2.671428571
401,T cell,FAM172A,7.1
402,T cell,FAM49B,120.0285714
403,T cell,FAM78A,8.985714286
404,T cell,FANCG,4.671428571
405,T cell,FAS,25.2
406,T cell,FASLG,23.34285714
407,T cell,FBP1,7.542857143
408,T cell,FBXO11,1.657142857
409,T cell,FBXO5,4.457142857
410,T cell,FBXW11,5.328571429
411,T cell,FBXW7,3.457142857
412,T cell,FCER1A,2.671428571
413,T cell,FCER1G,18.42857143
414,T cell,FCGRT,40.41428571
415,T cell,FCHSD2,3
416,T cell,FDPS,82.97142857
417,T cell,FDXR,6.371428571
418,T cell,FEN1,13.98571429
419,T cell,FER,1.328571429
420,T cell,FGFR1,1.471428571
421,T cell,FGGY,2.871428571
422,T cell,FGR,57.94285714
423,T cell,FHIT,19.58571429
424,T cell,FHL2,1.285714286
425,T cell,FKBP1A,129.5
426,T cell,FKBP5,77.75714286
427,T cell,FKBP8,13.5
428,T cell,FLI1,8.057142857
429,T cell,FLNA,26.07142857
430,T cell,FLNB,2.242857143
431,T cell,FMR1,2.528571429
432,T cell,FNBP1,9.471428571
433,T cell,FNDC3B,2.028571429
434,T cell,FNTA,9.928571429
435,T cell,FOCAD,2.685714286
436,T cell,FOSL2,3.528571429
437,T cell,FOXJ3,8.142857143
438,T cell,FOXK1,1.714285714
439,T cell,FOXN3,33.8
440,T cell,FOXO1,2.285714286
441,T cell,FOXO3,2.471428571
442,T cell,FOXP1,34.04285714
443,T cell,FRMD4B,4.9
444,T cell,FRS2,2.685714286
445,T cell,FRYL,1.671428571
446,T cell,FTO,25.01428571
447,T cell,FUS,34.02857143
448,T cell,FYB1,153.8857143
449,T cell,FYN,102.2
450,T cell,G3BP1,81.12857143
451,T cell,GABPA,5.114285714
452,T cell,GADD45A,5.257142857
453,T cell,GADD45B,46.04285714
454,T cell,GALNT10,2
455,T cell,GALNT2,3.571428571
456,T cell,GAPDH,1239.957143
457,T cell,GAS7,1.042857143
458,T cell,GATA3,26.9
459,T cell,GATAD2A,2.085714286
460,T cell,GBP1,79.44285714
461,T cell,GIT1,1.528571429
462,T cell,GLIPR2,104.0571429
463,T cell,GLRX,219.4571429
464,T cell,GLS,4.628571429
465,T cell,GM2A,4.057142857
466,T cell,GMDS,8.642857143
467,T cell,GNA13,6.828571429
468,T cell,GNA15,1.657142857
469,T cell,GNAI2,14.97142857
470,T cell,GNAI3,6.771428571
471,T cell,GNAQ,1.714285714
472,T cell,GNAS,38.14285714
473,T cell,GNB2,15.5
474,T cell,GNB5,24.45714286
475,T cell,GNG2,109.7142857
476,T cell,GOLPH3,8.4
477,T cell,GORASP1,1.742857143
478,T cell,GPATCH2,2.357142857
479,T cell,GPCPD1,3.014285714
480,T cell,GPR132,5.071428571
481,T cell,GPR141,2.242857143
482,T cell,GPR146,7.857142857
483,T cell,GRAMD1A,3.785714286
484,T cell,GRAP2,42.74285714
485,T cell,GRB2,50.12857143
486,T cell,GRK2,5.842857143
487,T cell,GRK5,5.8
488,T cell,GRK6,20.11428571
489,T cell,GRN,32.54285714
490,T cell,GSAP,4.614285714
491,T cell,GSK3B,1.342857143
492,T cell,GSN,1.614285714
493,T cell,GSTK1,384.7714286
494,T cell,GSTP1,414.5428571
495,T cell,GTDC1,5.885714286
496,T cell,GTF2H1,8.971428571
497,T cell,GTF2I,13.12857143
498,T cell,GZMB,359.8142857
499,T cell,H2AFX,1.314285714
500,T cell,HABP4,1.028571429
501,T cell,HBP1,39.55714286
502,T cell,HCFC1,2.385714286
503,T cell,HCK,1.128571429
504,T cell,HDAC1,125.8714286
505,T cell,HDAC2,33.54285714
506,T cell,HDAC3,40.85714286
507,T cell,HDAC4,1.714285714
508,T cell,HDAC6,3.442857143
509,T cell,HDAC9,2.685714286
510,T cell,HERC1,5.514285714
511,T cell,HIF1A,13.74285714
512,T cell,HIPK3,3.9
513,T cell,HIST1H2AM,8.857142857
514,T cell,HIST1H2BB,1.557142857
515,T cell,HIST2H2AC,22.21428571
516,T cell,HIVEP1,1.971428571
517,T cell,HIVEP2,1.128571429
518,T cell,HK1,46.54285714
519,T cell,HLA-A,135.5
520,T cell,HLA-B,330.2571429
521,T cell,HLA-DPA1,14.87142857
522,T cell,HLA-DPB1,28.61428571
523,T cell,HLA-DQA1,6.628571429
524,T cell,HLA-DQB1,12.5
525,T cell,HLA-DRA,5.014285714
526,T cell,HLA-DRB1,14.02857143
527,T cell,HLA-DRB5,1.328571429
528,T cell,HLA-E,173.4857143
529,T cell,HLA-F,25.37142857
530,T cell,HM13,104.6
531,T cell,HMGA1,38.95714286
532,T cell,HMGB1,503.3142857
533,T cell,HMGB2,126.7571429
534,T cell,HMGN1,149.7714286
535,T cell,HNRNPK,343.3
536,T cell,HNRNPM,83.78571429
537,T cell,HNRNPR,43.18571429
538,T cell,HNRNPU,20.35714286
539,T cell,HNRNPUL1,12.47142857
540,T cell,HOOK2,1.357142857
541,T cell,HPCAL1,30.42857143
542,T cell,HS1BP3,4.085714286
543,T cell,HSF1,17.57142857
544,T cell,HSP90AA1,167.5285714
545,T cell,HSP90AB1,411.3285714
546,T cell,HSP90B1,165.0571429
547,T cell,HSPA1A,1.2
548,T cell,HSPB1,69.45714286
549,T cell,HSPD1,57.38571429
550,T cell,HTRA2,4.4
551,T cell,ICAM1,4.942857143
552,T cell,ICAM4,1.2
553,T cell,ID2,189.5857143
554,T cell,ID3,35.9
555,T cell,IFI16,52.97142857
556,T cell,IFI35,37.61428571
557,T cell,IFI6,125.4285714
558,T cell,IFIT1,8.085714286
559,T cell,IFIT3,4.957142857
560,T cell,IFITM1,1767.328571
561,T cell,IFITM3,49.61428571
562,T cell,IFNG,2.771428571
563,T cell,IGF2R,1.428571429
564,T cell,IGFBP3,7.757142857
565,T cell,IKBKE,25.08571429
566,T cell,IL15,2.785714286
567,T cell,IL15RA,16.11428571
568,T cell,IL16,178.6571429
569,T cell,IL1RAP,2.028571429
570,T cell,IL23A,15.32857143
571,T cell,IL4R,4.571428571
572,T cell,ILK,110.1285714
573,T cell,IMMP2L,15.64285714
574,T cell,ING1,14.12857143
575,T cell,INPP4A,2.2
576,T cell,INPP4B,14.25714286
577,T cell,INPP5D,9.971428571
578,T cell,INTS7,8.471428571
579,T cell,IPCEF1,18.68571429
580,T cell,IQGAP1,15.44285714
581,T cell,IQGAP2,3.857142857
582,T cell,IQSEC1,1.957142857
583,T cell,IRAK2,3.114285714
584,T cell,IRF1,116.3857143
585,T cell,IRF2,78.85714286
586,T cell,IRF5,2.142857143
587,T cell,ISG20,486.4285714
588,T cell,ITGA4,34.17142857
589,T cell,ITGA5,9.214285714
590,T cell,ITGA6,7.357142857
591,T cell,ITGAL,27.92857143
592,T cell,ITGAM,8.771428571
593,T cell,ITGAX,1.042857143
594,T cell,ITGB1,158.5142857
595,T cell,ITGB7,48.82857143
596,T cell,ITPR1,1.028571429
597,T cell,ITPR2,2.814285714
598,T cell,JADE2,3.457142857
599,T cell,JAK2,3.785714286
600,T cell,JAM3,1.328571429
601,T cell,JMJD1C,2.085714286
602,T cell,JUNB,33.14285714
603,T cell,JUND,4.942857143
604,T cell,KAT2B,1.085714286
605,T cell,KAT5,32.37142857
606,T cell,KAT6A,2.014285714
607,T cell,KAT6B,1.014285714
608,T cell,KAT8,2.957142857
609,T cell,KDM1A,3.857142857
610,T cell,KDM2A,2.3
611,T cell,KDM2B,5.057142857
612,T cell,KDM4C,9.042857143
613,T cell,KDM5A,25.55714286
614,T cell,KEAP1,42.97142857
615,T cell,KHDRBS1,8.785714286
616,T cell,KHSRP,3
617,T cell,KIF2A,45.82857143
618,T cell,KLF11,1.642857143
619,T cell,KLF2,45.37142857
620,T cell,KLF6,104.2142857
621,T cell,KLF7,5.757142857
622,T cell,KLHL6,1.771428571
623,T cell,KLRC1,49.77142857
624,T cell,KLRD1,139.3285714
625,T cell,KLRK1,127.1857143
626,T cell,KMT5A,1.357142857
627,T cell,KPNA2,23.3
628,T cell,KPNB1,8.085714286
629,T cell,KRAS,13.5
630,T cell,KTN1,65.31428571
631,T cell,LAP3,33.61428571
632,T cell,LAPTM5,509.3142857
633,T cell,LASP1,19.5
634,T cell,LATS1,4.7
635,T cell,LCP2,40.52857143
636,T cell,LDLR,2.457142857
637,T cell,LEF1,61.08571429
638,T cell,LGALS3,45.34285714
639,T cell,LIMK2,5.914285714
640,T cell,LIMS1,34.3
641,T cell,LIPA,36.32857143
642,T cell,LITAF,344.5714286
643,T cell,LMNA,21.28571429
644,T cell,LPP,3.357142857
645,T cell,LRRFIP1,64.6
646,T cell,LTB,88.81428571
647,T cell,LTK,1.057142857
648,T cell,LY96,6.128571429
649,T cell,LYN,1.185714286
650,T cell,MACF1,6.385714286
651,T cell,MAD1L1,93.15714286
652,T cell,MAF,2.914285714
653,T cell,MAF1,93.34285714
654,T cell,MAP1LC3A,3.614285714
655,T cell,MAP2K1,5.428571429
656,T cell,MAP2K2,14.14285714
657,T cell,MAP2K3,35.72857143
658,T cell,MAP2K4,1.9
659,T cell,MAP2K5,6.385714286
660,T cell,MAP2K6,3.614285714
661,T cell,MAP3K1,1.457142857
662,T cell,MAP3K11,2.571428571
663,T cell,MAP3K2,1.328571429
664,T cell,MAP3K3,2.871428571
665,T cell,MAP3K4,5.928571429
666,T cell,MAP3K5,1.985714286
667,T cell,MAP3K7,13.62857143
668,T cell,MAP3K8,6.514285714
669,T cell,MAP4,9.928571429
670,T cell,MAP4K1,17.45714286
671,T cell,MAP4K2,5.971428571
672,T cell,MAP4K4,2.214285714
673,T cell,MAP4K5,4.3
674,T cell,MAPK1,5.085714286
675,T cell,MAPK13,30.02857143
676,T cell,MAPK14,4.942857143
677,T cell,MAPK3,2.785714286
678,T cell,MAPK7,2.042857143
679,T cell,MAPK8,1.628571429
680,T cell,MAPK9,1.4
681,T cell,MAPKAP1,5.042857143
682,T cell,MAPKAPK2,1.457142857
683,T cell,MAPKAPK3,25.97142857
684,T cell,MAPKAPK5,3.242857143
685,T cell,MARK2,1.514285714
686,T cell,MARK3,3.857142857
687,T cell,MAST4,2.785714286
688,T cell,MAT2A,23.7
689,T cell,MATK,19.15714286
690,T cell,MAVS,1.1
691,T cell,MAX,140.8142857
692,T cell,MBNL1,70.42857143
693,T cell,MBP,16.62857143
694,T cell,MCL1,19.25714286
695,T cell,MCM3,48.98571429
696,T cell,MCM7,4.228571429
697,T cell,MCPH1,3.285714286
698,T cell,MDM2,3.914285714
699,T cell,MDM4,4.614285714
700,T cell,MED14,1.757142857
701,T cell,MED15,18.92857143
702,T cell,MED16,52.85714286
703,T cell,MED28,4.657142857
704,T cell,MED4,79.37142857
705,T cell,MEN1,1.5
706,T cell,METTL8,3.614285714
707,T cell,METTL9,11.72857143
708,T cell,MGAT1,70.48571429
709,T cell,MGMT,29.48571429
710,T cell,MGRN1,2.114285714
711,T cell,MICAL2,1.571428571
712,T cell,MKL1,14.4
713,T cell,MKNK1,17.55714286
714,T cell,MKNK2,8.1
715,T cell,MKRN1,24.64285714
716,T cell,MLH1,13.21428571
717,T cell,MLLT3,7.3
718,T cell,MOB1A,35.52857143
719,T cell,MOV10,10.34285714
720,T cell,MPG,48.77142857
721,T cell,MPRIP,22.82857143
722,T cell,MPZL1,3.028571429
723,T cell,MR1,14.31428571
724,T cell,MRE11,7.228571429
725,T cell,MRPL27,101.3
726,T cell,MRPS27,31.48571429
727,T cell,MS4A1,2.242857143
728,T cell,MSC,9.3
729,T cell,MSH2,10.18571429
730,T cell,MTHFR,1.2
731,T cell,MTOR,1.428571429
732,T cell,MTSS1,7.142857143
733,T cell,MVP,67.31428571
734,T cell,MX1,31.24285714
735,T cell,MYC,130.1714286
736,T cell,MYCBP2,3.3
737,T cell,MYH9,24.44285714
738,T cell,MYO9B,2.1
739,T cell,MZF1,3.228571429
740,T cell,N4BP1,1.157142857
741,T cell,NAA35,6.414285714
742,T cell,NABP1,9.485714286
743,T cell,NBN,9.257142857
744,T cell,NCBP1,8.1
745,T cell,NCK1,28.34285714
746,T cell,NCK2,12.27142857
747,T cell,NCL,157.8
748,T cell,NCOA1,3.328571429
749,T cell,NCOA2,1.657142857
750,T cell,NCOA3,2.614285714
751,T cell,NCOA7,15.21428571
752,T cell,NDRG1,5.614285714
753,T cell,NDRG2,11.68571429
754,T cell,NEDD9,12.68571429
755,T cell,NEK6,5.6
756,T cell,NEK7,4.714285714
757,T cell,NEK9,1.971428571
758,T cell,NF1,2.357142857
759,T cell,NF2,11.24285714
760,T cell,NFATC1,4.6
761,T cell,NFATC2,3
762,T cell,NFATC3,15.6
763,T cell,NFIA,2.214285714
764,T cell,NFIC,1.757142857
765,T cell,NFKBIZ,2.471428571
766,T cell,NFYA,6.057142857
767,T cell,NFYB,24.4
768,T cell,NFYC,32.88571429
769,T cell,NIN,4.414285714
770,T cell,NINJ1,65.4
771,T cell,NKIRAS1,6.3
772,T cell,NLRC5,3.842857143
773,T cell,NME1,37.2
774,T cell,NME7,9.428571429
