Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean
610,Dendritic Cell,INPP4A,2.05
611,Dendritic Cell,INPP5D,8.25
612,Dendritic Cell,INSR,8.05
613,Dendritic Cell,INTS7,8.25
614,Dendritic Cell,IPCEF1,7.2
615,Dendritic Cell,IQGAP1,16.5
616,Dendritic Cell,IQGAP2,4.9
617,Dendritic Cell,IQSEC1,3.2
618,Dendritic Cell,IRF1,69.95
619,Dendritic Cell,IRF2,43.85
620,Dendritic Cell,IRF5,27.3
621,Dendritic Cell,ISG20,79.2
622,Dendritic Cell,ITGA4,36.55
623,Dendritic Cell,ITGA5,27.5
624,Dendritic Cell,ITGAL,11.95
625,Dendritic Cell,ITGAM,4.7
626,Dendritic Cell,ITGAX,15.3
627,Dendritic Cell,ITGB1,31.8
628,Dendritic Cell,ITGB4,2.15
629,Dendritic Cell,ITGB7,24.6
630,Dendritic Cell,ITPR1,1.7
631,Dendritic Cell,ITPR2,6.2
632,Dendritic Cell,JAK2,16.3
633,Dendritic Cell,JMJD1C,2.9
634,Dendritic Cell,JUNB,41.75
635,Dendritic Cell,JUND,7.75
636,Dendritic Cell,KAT5,25.4
637,Dendritic Cell,KAT8,3.7
638,Dendritic Cell,KCNK1,3.1
639,Dendritic Cell,KDM1A,4.55
640,Dendritic Cell,KDM2B,3.8
641,Dendritic Cell,KDM4C,5.1
642,Dendritic Cell,KDM5A,24.85
643,Dendritic Cell,KEAP1,34.8
644,Dendritic Cell,KHDRBS1,7.4
645,Dendritic Cell,KHDRBS2,1.1
646,Dendritic Cell,KHSRP,5.1
647,Dendritic Cell,KIF2A,13.7
648,Dendritic Cell,KLF11,3.35
649,Dendritic Cell,KLF2,1.7
650,Dendritic Cell,KLF4,1.45
651,Dendritic Cell,KLF6,100.05
652,Dendritic Cell,KLF7,3.45
653,Dendritic Cell,KLHL6,2.9
654,Dendritic Cell,KLRD1,1.5
655,Dendritic Cell,KLRK1,1.05
656,Dendritic Cell,KMT5A,1.2
657,Dendritic Cell,KPNA2,45
658,Dendritic Cell,KPNB1,4.75
659,Dendritic Cell,KRAS,8.8
660,Dendritic Cell,KRT8,1.1
661,Dendritic Cell,KTN1,117.55
662,Dendritic Cell,KYNU,85.3
663,Dendritic Cell,LAP3,142.3
664,Dendritic Cell,LAPTM5,535.55
665,Dendritic Cell,LASP1,21.5
666,Dendritic Cell,LATS1,2.7
667,Dendritic Cell,LCP2,16.2
