"","source","target","source_genesymbol","target_genesymbol","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","dip_url","sources","references","curation_effort","dorothea_level","n_references","n_resources"
"634","P49715","Q9HCL2","CEBPA","GPAM",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"635","P49715","Q9Y625","CEBPA","GPC6",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"636","P49715","Q8TD30","CEBPA","GPT2",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"637","P49715","P36969","CEBPA","GPX4",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"638","P49715","Q96HH9","CEBPA","GRAMD2B",1,0,0,0,0,0,NA,"JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"639","P49715","Q13322","CEBPA","GRB10",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"640","P49715","A4D1B5","CEBPA","GSAP",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"641","P49715","Q14687","CEBPA","GSE1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"642","P49715","P49840","CEBPA","GSK3A",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"643","P49715","P49841","CEBPA","GSK3B",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"644","P49715","P25092","CEBPA","GUCY2C",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"645","P49715","A0PJZ3","CEBPA","GXYLT2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"646","P49715","P81172","CEBPA","HAMP",1,1,0,1,1,0,NA,"PAZAR_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"647","P49715","Q9BXC0","CEBPA","HCAR1",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA","",0,"B",0,0
"648","P49715","O00291","CEBPA","HIP1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"649","P49715","Q9H2X6","CEBPA","HIPK2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"650","P49715","P31629","CEBPA","HIVEP2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"651","P49715","Q5T1R4","CEBPA","HIVEP3",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"652","P49715","P09429","CEBPA","HMGB1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"653","P41235","P49715","HNF4A","CEBPA",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;PAZAR_DoRothEA","DoRothEA:19074951;HTRIdb:19074951",2,"A",1,2
"654","P49715","P41235","CEBPA","HNF4A",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"655","P49715","P50135","CEBPA","HNMT",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"656","P49715","Q9NSC5","CEBPA","HOMER3",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"657","P49715","P00738","CEBPA","HP",1,1,0,1,1,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFactS_DoRothEA;TRED_DoRothEA","HTRIdb:12074569",1,"A",1,2
"658","P49715","P37235","CEBPA","HPCAL1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"659","P49715","P02790","CEBPA","HPX",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"660","P49715","Q8NBQ5","CEBPA","HSD17B11",1,1,0,1,1,0,NA,"PAZAR_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"661","P49715","P37059","CEBPA","HSD17B2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"662","P49715","P34932","CEBPA","HSPA4",1,1,0,1,1,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"663","P49715","P42858","CEBPA","HTT",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"664","P49715","P05362","CEBPA","ICAM1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"665","P49715","P41134","CEBPA","ID1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"666","P49715","P15260","CEBPA","IFNGR1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"667","P49715","P05019","CEBPA","IGF1",1,1,0,1,1,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TFactS_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"668","P49715","P08069","CEBPA","IGF1R",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"669","P49715","P01344","CEBPA","IGF2",1,1,0,1,1,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;PAZAR_DoRothEA;TFactS_DoRothEA;TRRUST_DoRothEA","DoRothEA:7659086;HTRIdb:7659086",2,"A",1,2
"670","P49715","P11717","CEBPA","IGF2R",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"671","P49715","P08833","CEBPA","IGFBP1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"672","P49715","P22301","CEBPA","IL10",1,0,0,0,0,0,NA,"IntAct_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",0,"A",0,0
"673","P49715","P29460","CEBPA","IL12B",1,0,0,0,0,0,NA,"ABS;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,1
"674","P49715","P01583","CEBPA","IL1A",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"675","P49715","P14778","CEBPA","IL1R1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"676","P49715","Q9NPH3","CEBPA","IL1RAP",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"677","P49715","P08700","CEBPA","IL3",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"678","P49715","P05112","CEBPA","IL4",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"679","P49715","P05113","CEBPA","IL5",1,0,0,0,0,0,NA,"RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"680","P49715","P05231","CEBPA","IL6",1,0,0,0,0,0,NA,"HOCOMOCO_DoRothEA;JASPAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"681","P49715","O14732","CEBPA","IMPA2",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"682","P49715","P06213","CEBPA","INSR",1,1,0,1,1,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"683","P49715","Q8WWN9","CEBPA","IPCEF1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"684","P49715","Q6DN90","CEBPA","IQSEC1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"685","P49715","P35568","CEBPA","IRS1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"686","P49715","P78412","CEBPA","IRX6",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA","",0,"B",0,0
"687","P49715","P17301","CEBPA","ITGA2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"688","P49715","P20701","CEBPA","ITGAL",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"689","P49715","P20702","CEBPA","ITGAX",1,1,0,1,1,0,NA,"HOCOMOCO_DoRothEA;PAZAR_DoRothEA;TFactS_DoRothEA;TRRUST_DoRothEA","",0,"A",0,0
"690","P49715","P05107","CEBPA","ITGB2",1,0,0,0,0,0,NA,"HOCOMOCO_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"691","P49715","Q9Y287","CEBPA","ITM2B",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"692","P49715","Q14643","CEBPA","ITPR1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"693","P49715","Q14571","CEBPA","ITPR2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"694","P49715","Q86VZ6","CEBPA","JAZF1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"695","P49715","Q15652","CEBPA","JMJD1C",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"696","P49715","O60229","CEBPA","KALRN",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"697","P49715","O95251","CEBPA","KAT7",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"698","P49715","Q96L42","CEBPA","KCNH8",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"699","P49715","Q99712","CEBPA","KCNJ15",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"700","P49715","Q12791","CEBPA","KCNMA1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"701","P49715","O94953","CEBPA","KDM4B",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"702","P49715","Q14159","CEBPA","SPIDR",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"B;D",0,0
"703","P49715","Q8IZA0","CEBPA","KIAA0319L",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"704","P49715","A2VDJ0","CEBPA","TMEM131L",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"705","P49715","Q5T5P2","CEBPA","KIAA1217",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"706","P49715","Q16787","CEBPA","LAMA3",1,0,0,0,0,0,NA,"JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"707","P49715","P07942","CEBPA","LAMB1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"708","P49715","Q15031","CEBPA","LARS2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"709","P49715","P18428","CEBPA","LBP",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"710","P49715","P01130","CEBPA","LDLR",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"711","P49715","P41159","CEBPA","LEP",1,1,0,1,1,0,NA,"ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"712","P49715","Q9BXB1","CEBPA","LGR4",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"713","P49715","Q9UGP4","CEBPA","LIMD1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"714","P49715","Q6ZSB3","CEBPA","LINC00299",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"715","P49715","P11150","CEBPA","LIPC",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"716","P49715","Q99732","CEBPA","LITAF",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"717","P49715","Q8WVP7","CEBPA","LMBR1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"718","P49715","Q8TBB1","CEBPA","LNX1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"719","P49715","Q93052","CEBPA","LPP",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"720","P49715","Q9Y2L9","CEBPA","LRCH1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"721","P49715","Q96JA1","CEBPA","LRIG1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"722","P49715","P02788","CEBPA","LTF",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;IntAct_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","HTRIdb:12522000",1,"A",1,2
